"Group","SHA1","ID","Folder","FileName","Title","TransliteratedName","SortTitle","Version","Year","Publisher","Zone","DumpStatus","DumpInfo","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack"
005,,005,,,005,,,,,,,,,,,,,,,,,,
ch2000,,ch2000c1,,,"Fruit Bonus 2000 / New Cherry 2000",,,"(Version 4.4R, set 2)",,,,,,,,,,,,,,,
chainrec,,chainrec,,,"Chain Reaction",,,"(World, Version 2.2, 1995.09.25)",,,,,,,,,,,,,,,
chainrec,,magdropp,,,"Magical Drop Plus 1",,,"(Japan, Version 2.1, 1995.09.12)",,,,,,,,,,,,,,,
chainrec,,magdrop,,,"Magical Drop",,,"(Japan, Version 1.1, 1995.06.21)",,,,,,,,,,,,,,,
chaknpop,,chaknpop,,,"Chack'n Pop",,,,,,,,,,,,,,,,,,
challeng,,challeng,,,Challenger,,,,,,,,,,,,,,,,,,
cham24,,cham24,,,"Chameleon 24",,,,,,,,,,,,,,,,,,
chameleo,,chameleo,,,Chameleon,,,,,,,,,,,,,,,,,,
champbas,,champbasja,,,"Champion Base Ball",,,"(Japan set 2)",,,,,,,,,,,,,,,
champbas,,champbasj,,,"Champion Base Ball",,,"(Japan set 1)",,,,,,,,,,,,,,,
champbas,,champbas,,,"Champion Base Ball",,,,,,,,,,,,,,,,,,
champbb2,,champbb2,,,"Champion Base Ball Part-2",,,"(set 1)",,,,,,,,,,,,,,,
champbb2,,champbb2j,,,"Champion Base Ball Part-2",,,(Japan),,,,,,,,,,,,,,,
champbb2,,champbb2a,,,"Champion Base Ball Part-2",,,"(set 2)",,,,,,,,,,,,,,,
champbwl,,champbwl,,,"Championship Bowling",,,,,,,,,,,,,,,,,,
champwr,,champwrj,,,"Champion Wrestler",,,(Japan),,,,,,,,,,,,,,,
champwr,,champwru,,,"Champion Wrestler",,,(US),,,,,,,,,,,,,,,
champwr,,champwr,,,"Champion Wrestler",,,(World),,,,,,,,,,,,,,,
chanbara,,chanbara,,,Chanbara,,,,,,,,,,,,,,,,,,
changela,,changela,,,"Change Lanes",,,,,,,,,,,,,,,,,,
changes,,changesa,,,Changes,,,"(EME license)",,,,,,,,,,,,,,,
changes,,looper,,,Looper,,,,,,,,,,,,,,,,,,
changes,,changes,,,Changes,,,,,,,,,,,,,,,,,,
charlien,,charlien,,,"Charlie Ninja",,,,,,,,,,,,,,,,,,
chasehq,,chasehqju,,,"Chase H.Q.",,,"(Japan, upright?)",,,,,,,,,,,,,,,
chasehq,,chasehqu,,,"Chase H.Q.",,,(US),,,,,,,,,,,,,,,
chasehq,,chasehq,,,"Chase H.Q.",,,(World),,,,,,,,,,,,,,,
chasehq,,chasehqj,,,"Chase H.Q.",,,(Japan),,,,,,,,,,,,,,,
chboxing,,chboxing,,,"Champion Boxing",,,,,,,,,,,,,,,,,,
checkman,,checkmanj,,,"Check Man",,,(Japan),,,,,,,,,,,,,,,
checkman,,checkman,,,"Check Man",,,,,,,,,,,,,,,,,,
checkmat,,checkmat,,,Checkmate,,,,,,,,,,,,,,,,,,
cheekyms,,cheekyms,,,"Cheeky Mouse",,,,,,,,,,,,,,,,,,
cheesech,,cheesech,,,"Cheese Chase",,,,,,,,,,,,,,,,,,
chelnov,,chelnovj,,,"Chelnov - Atomic Runner",,,(Japan),,,,,,,,,,,,,,,
chelnov,,chelnov,,,"Chelnov - Atomic Runner",,,(World),,,,,,,,,,,,,,,
chelnov,,chelnovjbl,,,"Chelnov - Atomic Runner",,,"(Japan, bootleg with I8031, set 1)",,,,,,,,,,,,,,,
chelnov,,chelnovu,,,"Chelnov - Atomic Runner",,,(US),,,,,,,,,,,,,,,
chelnov,,chelnovjbla,,,"Chelnov - Atomic Runner",,,"(Japan, bootleg with I8031, set 2)",,,,,,,,,,,,,,,
cheyenne,,cheyenne,,,Cheyenne,,,"(version 1.0)",,,,,,,,,,,,,,,
chihiro,,chihiro,,,"Chihiro Bios",,,,,,,,,,,,,,,,,,
chiller,,chiller,,,Chiller,,,"(version 3.0)",,,,,,,,,,,,,,,
chimerab,,chimerab,,,"Chimera Beast",,,"(Japan, prototype)",,,,,,,,,,,,,,,
chinagat,,saiyugoub1,,,"Sai Yu Gou Ma Roku",,,"(Japan bootleg 1)",,,,,,,,,,,,,,,
chinagat,,saiyugoub2,,,"Sai Yu Gou Ma Roku",,,"(Japan bootleg 2)",,,,,,,,,,,,,,,
chinagat,,chinagat,,,"China Gate",,,(US),,,,,,,,,,,,,,,
chinagat,,saiyugou,,,"Sai Yu Gou Ma Roku",,,(Japan),,,,,,,,,,,,,,,
chinatwn,,chinatwn,,,"China Town",,,(Japan),,,,,,,,,,,,,,,
chinhero,,chinhero3,,,"Chinese Hero",,,"(older, set 2)",,,,,,,,,,,,,,,
chinhero,,chinherot,,,"Chinese Heroe",,,(Taito),,,,,,,,,,,,,,,
chinhero,,chinhero,,,"Chinese Hero",,,,,,,,,,,,,,,,,,
chinhero,,chinhero2,,,"Chinese Hero",,,"(older, set 1)",,,,,,,,,,,,,,,
chinmoku,,chinmoku,,,"Mahjong Chinmoku no Hentai",,,"(Japan 900511)",,,,,,,,,,,,,,,
chinsan,,chinsan,,,"Ganbare Chinsan Ooshoubu",,,"(MC-8123A, 317-5012)",,,,,,,,,,,,,,,
chkun,,chkun,,,"Chance Kun",,,(Japan),,,,,,,,,,,,,,,
chleague,,chleagul,,,"Champion League",,,"(v220I, Lattine)",,,,,,,,,,,,,,,
chleague,,chleague,,,"Champion League",,,"(v220I, Poker)",,,,,,,,,,,,,,,
chokchok,,chokchok,,,"Choky! Choky!",,,,,,,,,,,,,,,,,,
choko,,choko,,,"Janpai Puzzle Choukou",,,"(Japan 010820)",,,,,,,,,,,,,,,
choplift,,chopliftu,,,Choplifter,,,(unprotected),,,,,,,,,,,,,,,
choplift,,chopliftbl,,,Choplifter,,,(bootleg),,,,,,,,,,,,,,,
choplift,,choplift,,,Choplifter,,,"(8751 315-5151)",,,,,,,,,,,,,,,
chopper,,choppera,,,"Chopper I",,,"(US set 2)",,,,,,,,,,,,,,,
chopper,,chopperb,,,"Chopper I",,,"(US set 3)",,,,,,,,,,,,,,,
chopper,,legofair,,,"Koukuu Kihei Monogatari - The Legend of Air Cavalry",,,(Japan),,,,,,,,,,,,,,,
chopper,,chopper,,,"Chopper I",,,"(US set 1)",,,,,,,,,,,,,,,
chqflag,,chqflag,,,"Chequered Flag",,,,,,,,,,,,,,,,,,
chqflag,,chqflagj,,,"Chequered Flag",,,(Japan),,,,,,,,,,,,,,,
chry10,,chry10,,,"Cherry 10",,,"(bootleg with PIC16F84)",,,,,,,,,,,,,,,
chrygld,,chrygld,,,"Cherry Gold I",,,"(set 1)",,,,,,,,,,,,,,,
chsuper3,,chsuper2,,,"Champion Super 2",,,(V0.13),,,,,,,,,,,,,,,
chsuper3,,chsuper3,,,"Champion Super 3",,,(V0.35),,,,,,,,,,,,,,,
chukatai,,chukatai,,,"Chuka Taisen",,,(World),,,,,,,,,,,,,,,
chukatai,,chukataij,,,"Chuka Taisen",,,(Japan),,,,,,,,,,,,,,,
chukatai,,chukataiu,,,"Chuka Taisen",,,(US),,,,,,,,,,,,,,,
chwrestl,,chwrestl,,,"Champion Pro Wrestling",,,,,,,,,,,,,,,,,,
chwy,,chwy,,,"Highway Chase",,,"(DECO Cassette) (US)",,,,,,,,,,,,,,,
ciclone,,ciclone,,,Ciclone,,,,,,,,,,,,,,,,,,
circus,,circus,,,"Circus / Acrobat TV",,,,,,,,,,,,,,,,,,
circus,,springbd,,,Springboard,,,"(bootleg of Circus)",,,,,,,,,,,,,,,
circusc,,circusc,,,"Circus Charlie",,,"(level select, set 1)",,,,,,,,,,,,,,,
circusc,,circuscc,,,"Circus Charlie",,,(Centuri),,,,,,,,,,,,,,,
circusc,,circusce,,,"Circus Charlie",,,"(Centuri, earlier)",,,,,,,,,,,,,,,
circusc,,circusc4,,,"Circus Charlie",,,"(no level select)",,,,,,,,,,,,,,,
circusc,,circusc2,,,"Circus Charlie",,,"(level select, set 2)",,,,,,,,,,,,,,,
circusc,,circusc3,,,"Circus Charlie",,,"(level select, set 3)",,,,,,,,,,,,,,,
cischeat,,cischeat,,,"Cisco Heat",,,,,,,,,,,,,,,,,,
citybomb,,citybomb,,,"City Bomber",,,(World),,,,,,,,,,,,,,,
citybomb,,citybombj,,,"City Bomber",,,(Japan),,,,,,,,,,,,,,,
citycon,,citycon,,,"City Connection",,,"(set 1)",,,,,,,,,,,,,,,
citycon,,citycona,,,"City Connection",,,"(set 2)",,,,,,,,,,,,,,,
citycon,,cruisin,,,Cruisin,,,,,,,,,,,,,,,,,,
citylove,,citylove,,,"City Love",,,"(Japan 860908)",,,,,,,,,,,,,,,
citylove,,mcitylov,,,"City Love [BET]",,,"(Japan 860904)",,,,,,,,,,,,,,,
ckong,,ckong,,,"Crazy Kong",,,,,,,,,,,,,,,,,,
ckong,,ckongmc,,,"Crazy Kong",,,"(bootleg on Moon Cresta hardware)",,,,,,,,,,,,,,,
ckong,,ckongis,,,"Crazy Kong",,,"(bootleg on Galaxian hardware, encrypted, set 3)",,,,,,,,,,,,,,,
ckong,,ckongs,,,"Crazy Kong",,,"(Scramble hardware)",,,,,,,,,,,,,,,
ckong,,ckongo,,,"Crazy Kong",,,"(Orca bootleg)",,,,,,,,,,,,,,,
ckong,,ckonggx,,,"Crazy Kong",,,"(bootleg on Galaxian hardware, encrypted, set 1)",,,,,,,,,,,,,,,
ckong,,ckongcv,,,"Crazy Kong",,,"(bootleg on Galaxian hardware, encrypted, set 2)",,,,,,,,,,,,,,,
ckong,,ckongalc,,,"Crazy Kong",,,"(Alca bootleg)",,,,,,,,,,,,,,,
ckong,,ckongg,,,"Crazy Kong",,,"(bootleg on Galaxian hardware)",,,,,,,,,,,,,,,
ckong,,ckongdks,,,"Donkey Kong",,,"(Spanish Crazy Kong bootleg)",,,,,,,,,,,,,,,
ckong,,bigkong,,,"Big Kong",,,,,,,,,,,,,,,,,,
ckong,,monkeyd,,,"Monkey Donkey",,,,,,,,,,,,,,,,,,
ckong,,dking,,,"Donkey King",,,,,,,,,,,,,,,,,,
ckongpt2,,ckongpt2a,,,"Crazy Kong Part II",,,"(set 2)",,,,,,,,,,,,,,,
ckongpt2,,ckongpt2,,,"Crazy Kong Part II",,,"(set 1)",,,,,,,,,,,,,,,
ckongpt2,,ckongpt2b,,,"Crazy Kong Part II",,,"(alternative levels)",,,,,,,,,,,,,,,
ckongpt2,,ckongpt2jeu,,,"Crazy Kong Part II",,,"(Jeutel bootleg)",,,,,,,,,,,,,,,
ckongpt2,,ckongpt2j,,,"Crazy Kong Part II",,,(Japan),,,,,,,,,,,,,,,
clapapa,,clapapa2,,,"Rootin' Tootin'",,,"(DECO Cassette) (US)",,,,,,,,,,,,,,,
clapapa,,clapapa,,,"Rootin' Tootin' / La-Pa-Pa",,,"(DECO Cassette) (US)",,,,,,,,,,,,,,,
classice,,classice2,,,"Classic Edition",,,"(Version 1.6LT, set 1)",,,,,,,,,,,,,,,
classice,,classiced1,,,"Classic Edition",,,"(Version 1.6R, set 2)",,,,,,,,,,,,,,,
classice,,classice,,,"Classic Edition",,,"(Version 1.6E)",,,,,,,,,,,,,,,
classice,,classice1,,,"Classic Edition",,,"(Version 1.6R, set 1)",,,,,,,,,,,,,,,
classice,,classicev1,,,"Classic Edition",,,"(Version 1.6R Dual)",,,,,,,,,,,,,,,
classice,,classicev2,,,"Classic Edition",,,"(Version 1.6LT Dual)",,,,,,,,,,,,,,,
classice,,classiced2,,,"Classic Edition",,,"(Version 1.6LT, set 2)",,,,,,,,,,,,,,,
classice,,classicev,,,"Classic Edition",,,"(Version 1.6E Dual)",,,,,,,,,,,,,,,
claypign,,claypign,,,"Clay Pigeon",,,"(version 2.0)",,,,,,,,,,,,,,,
clayshoo,,clayshoo,,,"Clay Shoot",,,,,,,,,,,,,,,,,,
cleopatr,,cleopatr,,,"Cleopatra Fortune",,,"(Ver 2.1J 1996/09/05)",,,,,,,,,,,,,,,
cliffhgr,,cliffhgra,,,"Cliff Hanger",,,"(set 2)",,,,,,,,,,,,,,,
cliffhgr,,cliffhgr,,,"Cliff Hanger",,,"(set 1)",,,,,,,,,,,,,,,
cloak,,agentx2,,,"Agent X",,,"(prototype, rev 2)",,,,,,,,,,,,,,,
cloak,,cloakgr,,,"Cloak & Dagger",,,(German),,,,,,,,,,,,,,,
cloak,,cloakfr,,,"Cloak & Dagger",,,(French),,,,,,,,,,,,,,,
cloak,,cloak,,,"Cloak & Dagger",,,"(rev 5)",,,,,,,,,,,,,,,
cloak,,agentx1,,,"Agent X",,,"(prototype, rev 1)",,,,,,,,,,,,,,,
cloak,,cloaksp,,,"Cloak & Dagger",,,(Spanish),,,,,,,,,,,,,,,
cloak,,agentx3,,,"Agent X",,,"(prototype, rev 3)",,,,,,,,,,,,,,,
cloak,,agentx4,,,"Agent X",,,"(prototype, rev 4)",,,,,,,,,,,,,,,
clocknch,,clocknch,,,Lock'n'Chase,,,"(DECO Cassette) (US)",,,,,,,,,,,,,,,
cloud9,,cloud9,,,"Cloud 9",,,(prototype),,,,,,,,,,,,,,,
clowns,,clowns1,,,Clowns,,,"(rev. 1)",,,,,,,,,,,,,,,
clowns,,clowns,,,Clowns,,,"(rev. 2)",,,,,,,,,,,,,,,
clshroad,,clshroads,,,Clash-Road,,,"(Status license)",,,,,,,,,,,,,,,
clshroad,,clshroad,,,Clash-Road,,,,,,,,,,,,,,,,,,
cltchitr,,cltchitrj,,,"Clutch Hitter",,,"(Japan) (FD1094 317-0175)",,,,,,,,,,,,,,,
cltchitr,,cltchitr,,,"Clutch Hitter",,,"(US) (FD1094 317-0176)",,,,,,,,,,,,,,,
cltchitr,,cltchitrjd,,,"Clutch Hitter",,,"(Japan) (bootleg of FD1094 317-0175 set)",,,,,,,,,,,,,,,
club90s,,club90s,,,"Mahjong CLUB 90's",,,"(set 1) (Japan 900919)",,,,,,,,,,,,,,,
club90s,,lovehous,,,"Mahjong Love House [BET]",,,"(Japan 901024)",,,,,,,,,,,,,,,
club90s,,club90sa,,,"Mahjong CLUB 90's",,,"(set 2) (Japan 900919)",,,,,,,,,,,,,,,
clubpacm,,clubpacm,,,"Pacman Club / Club Lambada",,,(Argentina),,,,,,,,,,,,,,,
cluckypo,,cluckypo,,,"Lucky Poker",,,"(DECO Cassette) (US)",,,,,,,,,,,,,,,
cluclu,,cluclu,,,"Vs. Clu Clu Land",,,,,,,,,,,,,,,,,,
cluedo,,cluedo,,,Cluedo,,,"(prod. 2D)",,,,,,,,,,,,,,,
cluedo,,cluedo2,,,Cluedo,,,"(prod. 2)",,,,,,,,,,,,,,,
cluedo,,cluedo2c,,,Cluedo,,,"(prod. 2C)",,,,,,,,,,,,,,,
cmagica,,cmagica,,,"Carta Magica",,,"(Ver 1.8)",,,,,,,,,,,,,,,
cmanhat,,cmanhat,,,Manhattan,,,"(DECO Cassette) (Japan)",,,,,,,,,,,,,,,
cmast91,,cmast91,,,"Cherry Master '91",,,(ver.1.30),,,,,,,,,,,,,,,
cmast99,,cmast99,,,"Cherry Master '99",,,(V9B.00),,,,,,,,,,,,,,,
cmaster,,cmasterb,,,"Cherry Master I",,,"(ver.1.01, set 2)",,,,,,,,,,,,,,,
cmaster,,cmaster,,,"Cherry Master I",,,"(ver.1.01, set 1)",,,,,,,,,,,,,,,
cmaster,,cmastere,,,"Cherry Master I",,,"(ver.1.01, set 6)",,,,,,,,,,,,,,,
cmaster,,cmasterf,,,"Cherry Master I",,,"(ver.1.01, set 7)",,,,,,,,,,,,,,,
cmaster,,cmezspin,,,"Cherry Master I",,,"(E-Z Spin bootleg / hack)",,,,,,,,,,,,,,,
cmaster,,cmasterbv,,,"Cherry Master I",,,"(ver.1.01, set 4, with Blitz Poker ROM?)",,,,,,,,,,,,,,,
cmaster,,cmasterc,,,"Cherry Master I",,,"(ver.1.01, set 3)",,,,,,,,,,,,,,,
cmaster,,cmasterd,,,"Cherry Master I",,,"(ver.1.01, set 5)",,,,,,,,,,,,,,,
cmehyou,,cmehyou,,,"Mahjong Circuit no Mehyou",,,(Japan),,,,,,,,,,,,,,,
cmissnx,,cmissnx,,,Mission-X,,,"(DECO Cassette) (US)",,,,,,,,,,,,,,,
cmmb162,,cmmb162,,,"Centipede / Millipede / Missile Command / Let's Go Bowling",,,"(rev 1.62)",,,,,,,,,,,,,,,
cmpacman,,cmpacman,,,"Super Pacman",,,"(v1.2) + Cherry Master (Corsica, v8.31, set 1)",,,,,,,,,,,,,,,
cmtetris,,cmtetris,,,"Tetris + Cherry Master",,,"(Corsica, v8.01, set 1)",,,,,,,,,,,,,,,
cmtetrsa,,cmtetrsa,,,"Tetris + Cherry Master",,,"(Corsica, v8.01, set 2)",,,,,,,,,,,,,,,
cmtetrsb,,cmtetrsb,,,"Tetris + Cherry Master",,,"(+K, Canada Version, encrypted)",,,,,,,,,,,,,,,
cmv4,,cmv4a,,,"Cherry Master",,,"(ver.4, set 2)",,,,,,,,,,,,,,,
cmv4,,cmv4,,,"Cherry Master",,,"(ver.4, set 1)",,,,,,,,,,,,,,,
cmv801,,cmv801,,,"Cherry Master",,,"(Corsica, ver.8.01)",,,,,,,,,,,,,,,
cnightst,,cnightst2,,,"Night Star",,,"(DECO Cassette) (US) (set 2)",,,,,,,,,,,,,,,
cnightst,,cnightst,,,"Night Star",,,"(DECO Cassette) (US) (set 1)",,,,,,,,,,,,,,,
cninja,,cninja1,,,"Caveman Ninja",,,"(World ver 1)",,,,,,,,,,,,,,,
cninja,,cninjau,,,"Caveman Ninja",,,"(US ver 4)",,,,,,,,,,,,,,,
cninja,,cninjabl2,,,"Tatakae Genshizin Joe & Mac",,,"(Japan, bootleg)",,,,,,,,,,,,,,,
cninja,,stoneage,,,Stoneage,,,"(bootleg of Caveman Ninja)",,,,,,,,,,,,,,,
cninja,,joemac,,,"Tatakae Genshizin Joe & Mac",,,"(Japan ver 1)",,,,,,,,,,,,,,,
cninja,,cninja,,,"Caveman Ninja",,,"(World ver 4)",,,,,,,,,,,,,,,
cntrygrl,,cntrygrl,,,"Country Girl",,,"(Japan set 1)",,,,,,,,,,,,,,,
cntrygrl,,cntrygrla,,,"Country Girl",,,"(Japan set 2)",,,,,,,,,,,,,,,
cntrygrl,,fruitbun,,,"Fruits & Bunny",,,(World?),,,,,,,,,,,,,,,
cntsteer,,cntsteer,,,"Counter Steer",,,(Japan),,,,,,,,,,,,,,,
cobra,,cobra,,,"Cobra Command",,,"(Data East LD, set 1)",,,,,,,,,,,,,,,
cobra,,cobram3,,,"Cobra Command",,,"(M.A.C.H. 3 hardware)",,,,,,,,,,,,,,,
cobracom,,cobracomj,,,Cobra-Command,,,(Japan),,,,,,,,,,,,,,,
cobracom,,cobracom,,,Cobra-Command,,,"(World revision 5)",,,,,,,,,,,,,,,
colmns97,,colmns97,,,"Columns '97",,,"(JET 961209 V1.000)",,,,,,,,,,,,,,,
colony7,,colony7a,,,"Colony 7",,,"(set 2)",,,,,,,,,,,,,,,
colony7,,colony7,,,"Colony 7",,,"(set 1)",,,,,,,,,,,,,,,
columns,,columnsu,,,Columns,,,"(US, cocktail, Rev A)",,,,,,,,,,,,,,,
columns,,columns,,,Columns,,,(World),,,,,,,,,,,,,,,
columns,,columnsj,,,Columns,,,(Japan),,,,,,,,,,,,,,,
columns2,,columns2,,,"Columns II: The Voyage Through Time",,,(World),,,,,,,,,,,,,,,
columns2,,column2j,,,"Columns II: The Voyage Through Time",,,(Japan),,,,,,,,,,,,,,,
combat,,combat,,,Combat,,,"(version 3.0)",,,,,,,,,,,,,,,
combat,,catch22,,,Catch-22,,,"(version 8.0)",,,,,,,,,,,,,,,
combatsc,,combatscj,,,"Combat School",,,"(Japan trackball)",,,,,,,,,,,,,,,
combatsc,,combatsct,,,"Combat School",,,(trackball),,,,,,,,,,,,,,,
combatsc,,combatscb,,,"Combat School",,,(bootleg),,,,,,,,,,,,,,,
combatsc,,combatsc,,,"Combat School",,,(joystick),,,,,,,,,,,,,,,
combatsc,,bootcamp,,,"Boot Camp",,,"(set 1)",,,,,,,,,,,,,,,
combh,,combh,,,"Combat Hawk",,,,,,,,,,,,,,,,,,
comg074,,comg074,,,"Cal Omega - Game 7.4",,,"(Gaming Poker, W.Export)",,,,,,,,,,,,,,,
comg076,,comg076,,,"Cal Omega - Game 7.6",,,"(Arcade Poker)",,,,,,,,,,,,,,,
comg079,,comg079,,,"Cal Omega - Game 7.9",,,"(Arcade Poker)",,,,,,,,,,,,,,,
comg080,,comg080,,,"Cal Omega - Game 8.0",,,"(Arcade Black Jack)",,,,,,,,,,,,,,,
comg094,,comg094,,,"Cal Omega - Game 9.4",,,(Keno),,,,,,,,,,,,,,,
comg107,,comg107,,,"Cal Omega - Game 10.7c",,,"(Big Game)",,,,,,,,,,,,,,,
comg123,,comg123,,,"Cal Omega - Game 12.3",,,"(Ticket Poker)",,,,,,,,,,,,,,,
comg125,,comg125,,,"Cal Omega - Game 12.5",,,(Bingo),,,,,,,,,,,,,,,
comg127,,comg127,,,"Cal Omega - Game 12.7",,,(Keno),,,,,,,,,,,,,,,
comg128,,comg128,,,"Cal Omega - Game 12.8",,,"(Arcade Game)",,,,,,,,,,,,,,,
comg134,,comg134,,,"Cal Omega - Game 13.4",,,"(Nudge Bingo)",,,,,,,,,,,,,,,
comg145,,comg145,,,"Cal Omega - Game 14.5",,,(Pixels),,,,,,,,,,,,,,,
comg157,,comg157,,,"Cal Omega - Game 15.7",,,"(Double-Draw Poker)",,,,,,,,,,,,,,,
comg159,,comg159,,,"Cal Omega - Game 15.9",,,"(Wild Double-Up)",,,,,,,,,,,,,,,
comg164,,comg164,,,"Cal Omega - Game 16.4",,,(Keno),,,,,,,,,,,,,,,
comg168,,comg168,,,"Cal Omega - Game 16.8",,,(Keno),,,,,,,,,,,,,,,
comg172,,comg172,,,"Cal Omega - Game 17.2",,,"(Double Double Poker)",,,,,,,,,,,,,,,
comg175,,comg175,,,"Cal Omega - Game 17.51",,,"(Gaming Draw Poker)",,,,,,,,,,,,,,,
comg176,,comg176,,,"Cal Omega - Game 17.6",,,"(Nudge Bingo)",,,,,,,,,,,,,,,
comg181,,comg181,,,"Cal Omega - Game 18.1",,,"(Nudge Bingo)",,,,,,,,,,,,,,,
comg183,,comg183,,,"Cal Omega - Game 18.3",,,(Pixels),,,,,,,,,,,,,,,
comg185,,comg185,,,"Cal Omega - Game 18.5",,,(Pixels),,,,,,,,,,,,,,,
comg186,,comg186,,,"Cal Omega - Game 18.6",,,(Pixels),,,,,,,,,,,,,,,
comg187,,comg187,,,"Cal Omega - Game 18.7",,,"(Amusement Poker)",,,,,,,,,,,,,,,
comg204,,comg204,,,"Cal Omega - Game 20.4",,,"(Super Blackjack)",,,,,,,,,,,,,,,
comg208,,comg208,,,"Cal Omega - Game 20.8",,,"(Winner's Choice)",,,,,,,,,,,,,,,
comg227,,comg227,,,"Cal Omega - Game 22.7",,,"(Amusement Poker, d/d)",,,,,,,,,,,,,,,
comg230,,comg230,,,"Cal Omega - Game 23.0",,,"(FC Bingo (4-card))",,,,,,,,,,,,,,,
comg236,,comg236,,,"Cal Omega - Game 23.6",,,(Hotline),,,,,,,,,,,,,,,
comg239,,comg239,,,"Cal Omega - Game 23.9",,,"(Gaming Draw Poker)",,,,,,,,,,,,,,,
comg240,,comg240,,,"Cal Omega - Game 24.0",,,"(Gaming Draw Poker, hold)",,,,,,,,,,,,,,,
comg246,,comg246,,,"Cal Omega - Game 24.6",,,(Hotline),,,,,,,,,,,,,,,
comg272a,,comg272a,,,"Cal Omega - Game 27.2",,,"(Keno, amusement)",,,,,,,,,,,,,,,
comg272b,,comg272b,,,"Cal Omega - Game 27.2",,,"(Keno, gaming)",,,,,,,,,,,,,,,
comg903d,,comg903d,,,"Cal Omega - System 903 Diag.PROM",,,,,,,,,,,,,,,,,,
comg905d,,comg905d,,,"Cal Omega - System 905 Diag.PROM",,,,,,,,,,,,,,,,,,
commando,,commandoj,,,"Senjou no Ookami",,,,,,,,,,,,,,,,,,
commando,,commandou,,,Commando,,,"(US set 1)",,,,,,,,,,,,,,,
commando,,commandou2,,,Commando,,,"(US set 2)",,,,,,,,,,,,,,,
commando,,commando,,,Commando,,,(World),,,,,,,,,,,,,,,
commando,,commandob,,,Commando,,,"(bootleg set 1)",,,,,,,,,,,,,,,
commando,,commandob2,,,Commando,,,"(bootleg set 2)",,,,,,,,,,,,,,,
commando,,sinvasnb,,,"Space Invasion",,,(bootleg),,,,,,,,,,,,,,,
commando,,sinvasn,,,"Space Invasion",,,(Europe),,,,,,,,,,,,,,,
commandw,,commandw,,,"Command War - Super Special Battle & War Game",,,"(Ver 0.0J, prototype)",,,,,,,,,,,,,,,
commsega,,commsega,,,Commando,,,(Sega),,,,,,,,,,,,,,,
comotion,,comotion,,,CoMOTION,,,,,,,,,,,,,,,,,,
compgolf,,compgolfo,,,"Competition Golf Final Round",,,"(Japan, old version)",,,,,,,,,,,,,,,
compgolf,,compgolf,,,"Competition Golf Final Round",,,"(revision 3)",,,,,,,,,,,,,,,
complexx,,complexx,,,"Complex X",,,,,,,,,,,,,,,,,,
congo,,congo,,,"Congo Bongo",,,"(Rev C, 2 board stack)",,,,,,,,,,,,,,,
congo,,congoa,,,"Congo Bongo",,,"(Rev C, 3 board stack)",,,,,,,,,,,,,,,
congo,,tiptop,,,"Tip Top",,,"(3 board stack)",,,,,,,,,,,,,,,
conquer,,conquer,,,Conqueror,,,,,,,,,,,,,,,,,,
contcirc,,contcircj,,,"Continental Circus",,,(Japan),,,,,,,,,,,,,,,
contcirc,,contcirc,,,"Continental Circus",,,(World),,,,,,,,,,,,,,,
contcirc,,contcircua,,,"Continental Circus",,,"(US set 2)",,,,,,,,,,,,,,,
contcirc,,contcircu,,,"Continental Circus",,,"(US set 1)",,,,,,,,,,,,,,,
contra,,contra,,,Contra,,,"(US / Asia, set 1)",,,,,,,,,,,,,,,
contra,,gryzor1,,,Gryzor,,,"(set 2)",,,,,,,,,,,,,,,
contra,,contra1,,,Contra,,,"(US / Asia, set 2)",,,,,,,,,,,,,,,
contra,,contrabj,,,Contra,,,"(Japan bootleg, set 1)",,,,,,,,,,,,,,,
contra,,contrab,,,Contra,,,(bootleg),,,,,,,,,,,,,,,
contra,,gryzor,,,Gryzor,,,"(set 1)",,,,,,,,,,,,,,,
contra,,contraj,,,Contra,,,"(Japan, set 1)",,,,,,,,,,,,,,,
contra,,contrae,,,Contra,,,"(US / Asia, set 3)",,,,,,,,,,,,,,,
contra,,contraj1,,,Contra,,,"(Japan, set 2)",,,,,,,,,,,,,,,
contra,,contrabj1,,,Contra,,,"(Japan bootleg, set 2)",,,,,,,,,,,,,,,
cookbib,,cookbib,,,"Cookie & Bibi",,,"(set 1)",,,,,,,,,,,,,,,
cookbib2,,cookbib2,,,"Cookie & Bibi 2",,,,,,,,,,,,,,,,,,
cookbib3,,cookbib3,,,"Cookie & Bibi 3",,,,,,,,,,,,,,,,,,
coolmini,,coolmini,,,"Cool Minigame Collection",,,,,,,,,,,,,,,,,,
coolpool,,coolpool,,,"Cool Pool",,,,,,,,,,,,,,,,,,
coolridr,,coolridr,,,"Cool Riders",,,,,,,,,,,,,,,,,,
coozumou,,coozumou,,,"Oozumou - The Grand Sumo",,,"(DECO Cassette) (Japan)",,,,,,,,,,,,,,,
cop01,,cop01,,,"Cop 01",,,"(set 1)",,,,,,,,,,,,,,,
cop01,,cop01a,,,"Cop 01",,,"(set 2)",,,,,,,,,,,,,,,
copsnrob,,copsnrob,,,"Cops'n Robbers",,,,,,,,,,,,,,,,,,
coralr2,,coralr2,,,"Coral Riches II",,,"(1VXFC5472, New Zealand)",,,,,,,,,,,,,,,
